,Anime Index,Made by SeaSmoke#0002,,,,,
,Title,Alternate Title,Best Release,Alternate Release,Dual Audio,Notes,Comparisons
,11eyes,11 Eyes,Tsundere,,No ,Tsundere is Salender+modified FTV-Wasurenai,
,86,86 - Eighty Six -,,LostYears (WEB),Yes,LY is Kantai with dual audio,
,91 days,,UDF,,Yes,,
,A Certain Magical Index,Toaru Majutsu no Index,"S1, S2: YURI
S3: GJM (BD) (Incomplete)",S3: Drag,"Yes
GJM: No","YURI is sergey+CTR for 1 and sergey+UTW-Mazui for S2
Drag is VCB+GJM",https://slow.pics/c/JsGEguzx
,A Certain Scientific Accelerator,Toaru Kagaku no Accelerator,,LostYears (WEB),Yes ,LY is GJM with dual audio. No good BD releases.,
,A Certain Scientific Railgun,Toaru Kagaku no Railgun,"S1+S2: CTR
S3: LostYears (WEB)","
S3: GJM (WEB)",Yes | No,,
,A Dark Rabbit has Seven Lives,Itsuka Tenma no Kuro Usagi,WBDP,Tsundere,No ,Salender-Raws. WBDP has WhyNot. Tsundere has Derp.,
,A Lull in the Sea,Nagi no Asukara,Arid,,Yes,Arid is sergey+FFF(Underwater-Vivid) and Kametsu(modified Nyanko),https://slow.pics/c/t7yxayA2
,A Place Further than the Universe,Sora yori mo Tooi Basho,MTBB,,No ,MTBB is b6boost+modified Coldgirls ,
,A Sister's All You Need.,Imouto sae Ireba Ii.,KH,,Yes,,
,A Town Where You Live,Kimi no Iru Machi,IK,Beatrice+Doki,Yes,"IK's release has an upscaled 720p DVD for the special and OVA, so it might get yeeted 
off Nyaa.",https://slow.pics/c/pHkFq1vy
,Absolute Duo,,KH,Exp,Yes | No,frost+Chihiro,https://slow.pics/c/DU2ui7f8
,ACCA: 13 Territory Inspection Dept.,ACCA: 13-ku Kansatsu-ka,Beave,,Yes,Beave is Beatrice+edited Kaitou-Glue,
,Accel World,,FFF,,No,No good encodes,https://slow.pics/c/qZDuJxgm
,Ace Attorney,"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!","S1: Pog42
S2: ","S1: Erai-raws
",,,
,Adachi and Shimamura,Adachi to Shimamura,LostYears,Virtuality,No,"Virtuality is BD encode. Haven't compared it to GHS's web one yet.
LostYears is GHS + Dual audio.",
,Aesthetica of a Rogue Hero,Hagure Yuusha no Aesthetica,KH,FFF,Yes | No,KH is Salender+FFF and Final8,https://slow.pics/c/IMmmfwWZ
,After the Rain,Koi wa Ameagari no You ni,mottoj,KH,No | Yes,"mottoj has own encode, KH has VCB. Both use Commie.",https://slow.pics/c/NNp3Z0Ru
,AIKa: ZERO ,,Quetzal,,No,,https://slow.pics/c/VfG0p1L5
,Air Gear,,Pookie,,Yes,Pookie is Raws-4U+joseole99. Subs are slightly mistimed in both.,
,Aiura,,,Commie,No,,
,Akame ga Kill,,Kametsu,,Yes,,
,Akashic Records of Bastard Magic Instructor,"Rokudenashi Majutsu Koushi 
to Akashic Records",Drag,LostYears (WEB),Yes,Drag is Beatrice+LY,https://slow.pics/c/T7wtCVxQ
,AKB0048,,Kametsu,"S1: EveTaku
S2: FFF",Yes | No,Kametsu = EveTaku/FFF + Dual Audio,
,Aki Sora,,CBT,,No,,
,Alderamin on the Sky,Nejimaki Seirei Senki: Tenkyou no Alderamin,Kametsu,,Yes,,
,Aldnoah.Zero,,Lulu,,Yes,Lulu is Beatrice+Vivid-Watashi,
,Alice & Zoroku,Alice to Zouroku,Kametsu,GJM,Yes | No,Kametsu = GJM + Dual Audio,
,Amagami SS,,S2: YURI,,No,YURI is VCB+UTW,https://slow.pics/c/2wrUHB5i
,Amagi Brilliant Park,,MK,BlurayDesuYo,Yes | No,MK = BlurayDesuYo + Dual Audio,https://slow.pics/c/ErynGoep
,Amanchu!,,"S1: Glue
S2: GUDish
OVA: Drag","
Asenshi
",No,"Glue, GUDish and Drag = neko-raws + CR TL/Asenshi OP/ED/TS
",
,Amatsuki,,Orphan,,No,,
,And you thought there is never a girl online?,"Netoge no Yome wa Onnanoko 
ja Nai to Omotta?",KH,,Yes,,
,Ange Vierge,,SchwingBoner,,No,Beatrice+Modified HS. Also on nyaa but looks dead.,
,Angel Beats!,,Arid,Mysteria ,Yes | No,"Arid is Mysteria with dub. Mysteria is Beatrice+shitton of tracks, best is UTW(?)",
,Angel Densetsu,,UWU,,No,UWU is julek's encode+Rising Sun subs,
,Angel's 3Piece!,Tenshi no 3P!,Beatrice+Astral,nielsen145,No,,
,Angolmois: Record of Mongol Invasion,Angolmois: Genkou Kassenki,Yuki,,No,Yuki is Moozzi2 with touched up CRsubs,
,Anime-Gataris,,KH,SmugNeko,Yes | No,,
,Anitore! ,Anime De Training! ,"S1: Beatrice-Raws+Asenshi
S2: ANK-Raws+Asenshi","Asenshi (WEB)
Pog42",No ,Pog42 is Beatrice and ANK+SNSbu,
,Anohana: The Flower We Saw That Day,"Ano Hi Mita Hana no Namae wo Bokutachi wa 
Mada Shiranai.",Kametsu,,Yes,,
,Another,,"SCY
OVA: Exp",Exp,"Yes | No
OVA: No",,
,Anti-Magic Academy: The 35th Test Platoon,Taimadou Gakuen 35 Shiken Shoutai ,YURI,,No,YURI is Beatrice+Sally/MoeDesuDesu,
,Ao-chan Can't Study!,Midara na Ao-chan wa Benkyou ga Dekinai,GSK_kun,,Yes,,
,Aokana: Four Rhythm Across the Blue,Ao no Kanata no Four Rhythm,RASETSU,,Yes,,
,Aquarion Evol,,hchcsen,FFF,Yes | No,hchcsen is FFF with dual audio,
,Arakawa Under the Bridge,,ANE,,No,,
,Are You Lost?,Sounan desu ka?,YURI,,No,,https://slow.pics/c/XMsB6TkD
,Aria the Avvenire,,Cait-Sidhe,,No,,
,Aria the Scarlet Ammo,Hidan no Aria,AC,,Yes,AC is Yousei+UTW for normal and sergey+Coalgirls for AA.,
,Arifureta: From Commonplace to World's Strongest,Arifureta Shokugyou de Sekai Saikyou,OZR,NH,Yes,OZR is BadAnime video+Astral subs. NH is BadAnime with dual audio,
,Armor Shop for Ladies & Gentlemen,Otona no Bouguya-san,Impatience (WEB),,No,,
,Arte,,moscowgolem,,No,,
